General Customer Portal View,Methods ,Super Admin,Admin,Standard User,View Only User,Assets User,Custom Role (post-GA),Internal Full User (post-GA),Internal View Only User,Notes,Category Label in UI,Description in UI,Notes & Questions
General,Right to Customer Portal Access. View Information,X,X,X,X,X,X,X,X,"This indicates permission to login to CXC, but with only assigned features below Row 2",(Not displayed in UI),N/A,What's the intention behind having a Super Admin and Admin?
Admin Settings,Right to Administrate Asset Groups.Manage Asset Groups,X,,,,,,,,,Assets,Access to Manage Asset Groups,"Assume this means ""create"" asset groups?"
Admin Settings,Right to Manage Users Groups ,X,,,,,,,,,User Management,Access to Manage User Groups,
Admin Settings,Right to Manage Access Policies,X,,,,,,,,,User Management,Access to Manage Access Policies,"Added this one. ""Access Policies"" are a new concept"
Admin Settings,Right to Access Management. Assign Roles,X,,,,,,,,,User Management,Access to Assign Roles,
Admin Settings,Right to Administrate Account.Manage Users,X,,,,,,,,,User Management,Access to Manage Users,
Admin Settings,Right to Automated Fault Management.OpenCase Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Automated Fault Management,Access to Automated Fault Management Open Case Policy,
Admin Settings,Right to Rapid Problem Resolution.Opt in/out Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Cases,Access to Opt In/Out of Rapid Problem Resolution,
Admin Settings,Right to Compliance.Opt in/out Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Compliance,Access to Opt In/Out of Compliance,
General,Right to Services Upgrade. Request Upgrade,X,,,,,X,,,,Services,Access to Request Upgrade,
General,Right to Services Renewal. Request Renewal,X,,,,,X,,,,Services,Access to Request Renewal,
General,Right to Collector Scan.Collector Set up,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Collector Setup,
General,Right to Collector Scan.Schedule Scan,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Schedule Scan,
General,Right to Collector Scan.Run Scan,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Run Scan,
General,Right to Collector Scan.View Schedule ,X,X,X,X,X,X,X,X,,Scans & Collection,Access to View Schedule,
Lifecycle,Right to Manage PitStop.Complete Checklist ,X,X,X,,,X,X,,Admin can grant access to selected users (no limit),Lifecycle,Access to Complete Checklist,
Lifecycle,Right to Public Communities.View threads,X,X,X,X,,X,X,X,,Lifecycle,Access to View Community Threads,
Lifecycle,Right to Public Communities.Initiate thread,X,X,X,X,,X,X,X,,Lifecycle,Access to Initate Community Threads,
Lifecycle,Right to Success Track Communities.Initiate thread,X,X,X,,,X,X,,,Lifecycle,Access to Initate Success Track Community Threads,
Lifecycle,Right to Success Track Communities.Attend Q&A session,X,X,X,,,,,,,Lifecycle,Access to Attend Success Track Community Q&A Sessions,
Lifecycle,Right to Success Tips. View Success Tips ,X,X,X,X,,,,X,,Lifecycle,Access to View Success Tips,
Lifecycle,Right to ATX.Register ATX,X,X,X,,,X,X,,,Lifecycle,Access to Register for Ask the Expert Sessions,
Lifecycle,Right to ATX.Attend ATX,X,X,X,,,X,X,,,Lifecycle,Access to Attend Ask the Expert Sessions,
Lifecycle,Right to ATX.Feedback ATX,X,X,X,,,X,X,,,Lifecycle,Access to Give Feedback on Ask the Expert Sessions,
Lifecycle,Right to ATX.Bookmark ATX,X,X,X,,,,,,,Lifecycle,Access to Bookmark Ask the Expert Sessions,
Lifecycle,Right to ATX.View on-demand ATX recordings,X,X,X,,,,,,,Lifecycle,Access to View On-Demand Ask the Expert Sessions Recordings,
Lifecycle,Right to Accelerator.Request Accelerator,X,X,X,,,X,X,,Admin can grant access to selected users (no limit),Lifecycle,Access to Request Accelerator Engagements,
Lifecycle,Right to Accelerator.Feedback Accelerator,X,X,X,,,X,X,,,Lifecycle,Access to Give Feedback on Accelerator Engagements,
Lifecycle,Right to Accelerator.Bookmark Accelerator,X,X,X,,,,,,,Lifecycle,Access to Bookmark Accelerator Engagements,
Lifecycle,Right to Customized Group Training.Request Training,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Lifecycle,Access to Request Training,
Lifecycle,Right to eLearning.View Information ,X,X,X,,,X,X,,,Lifecycle,Access to View eLearning ,
Lifecycle,Right to Certification Prep+Remote Labs.View Information,X,X,X,,,X,X,,,Lifecycle,Access to View Certification Prep & Remote Labs,
Assets,Right to Administrate Asset Groups.Assign Asset to Asset Groups,X,,,,,,,,,Assets,Access to Assign Assets to Asset Groups,
Assets,"Right to view Advisories (Sec Adv, Field Notices, Priority Bugs)",X,X,X,X,X,X,X,X,,Assets,Access to View Advisories,
Assets,Right to view Contract details,X,X,X,,X,,X,X,Admin can grant access to selected users (no limit).  We also anticipate partner operators may only be granted Asset role without access to contract details.  Engineer-Assets role will have view access to contract details due to SAMT entitlement limitation (allow case-opening also allows viewing of the contact details),Assets,Access to View Contract Details,
Assets,Right to view Licence details,X,X,X,X,X,X,X,X,,Assets,Access to View Licence Details,
Assets,Right to Run ad-hoc Diagnostic Scans,X,X,X,,X,,,,,Scans & Collection,Access to Run Ad-hoc Diagnostic Scans,
Advisories,Right to Ignore Advisories,X,X,X,,X,,,,,Assets,Access to Ignore Advisories,
Cases ,Right to Technical Support.View case,X,X,X,,X,,X,X,,Cases,Access to View Cases,
Cases ,Right to Technical Support.Open Case,X,X,X,,X,,X,X,Admin can grant access to selected users (no limit),Cases,Access to Open Cases,
Cases ,Right to Hardware Return.Open RMA,X,X,X,,X,,X,X,Admin can grant access to selected users (no limit),Cases,Access to Open RMA,
Cases ,Right to Hardware Return. View RMA,X,X,X,,X,,X,X,,Cases,Access to View RMA,
Software,Right to view software recommendations,X,X,X,X,X,X,X,X,,Software,Access to View Software Recommendations,
Software,Right to accept/cancel optimal software,X,X,X,,X,,,,,Software,Access to Accept/Cancel Optimal Software,
Software,Right to change the recommendations interval,X,X,X,,X,,,,,Software,Access to Change the Recommendations Interval,
Risk Mitigation ,Right to view. Crash risk and crashed score Cards and corresponding grids,X,X,X,X,X,X,X,X,,Risk Mitigation,Access to Crash Risk and Crashed Score Cards and Corresponding Grids,
Risk Mitigations,Right to view.similar and compare devices from crash risk grid,X,X,X,X,X,X,X,X,,Risk Mitigation,Access to Similar and Compare Devices from Crash Risk grid,
Risk Mitigations,Right to View. details from crashed devices grid,X,X,X,X,X,,X,X,,Risk Mitigation,Access to Details from Crashed Devices Grid,
Risk Mitigations,Right to Ignore/Unignore devices,X,X,X,,X,,,,Support F8920 when feature is built,Risk Mitigation,Access to Ignore/Unignore Devices,
Compliance,Right to Create/Update Policy Profiles,X,X,,,,,,,,Compliance,Access to Create/Update Policy Profiles,
Compliance,Right to View Compliance Violations and Systems w/Violations pages,X,X,X,X,X,,X,X,,Compliance,Access to View Compliance Violations and Systems with Violations pages,
Compliance,Right to View Violation details from Violations grid,X,X,X,X,X,,X,X,,Compliance,Access to View Violation Details from Violations Grid,
Compliance,Right to View Systems details from Systems w/ Violations grid,X,X,X,X,X,,X,X,,Compliance,Access to View Systems details from Systems with Violations Grid,
Compliance,Right to View Policy Profiles,X,X,,,,,,,,Compliance,Access to View Policy Profiles,
Compliance,Right to View on-demand compliance check results,X,X,X,X,X,,X,X,,Compliance,Access to View On-Demand Compliance Check Results,
Compliance,Right to Initiate an On-demand Compliance Check ,X,X,X,,X,,X,,,,Access to Initiate an On-Demand Compliance Check,
AFM,Right to Enable/Disable IC in Fault Catalog,X,X,X,,X,,,,,Automated Fault Management,Access to Enable/Disable IC in Fault Catalog,
AFM,Right to Enable/Disable Syslog IC ,X,X,X,,X,,,,,Automated Fault Management,Access to Enable/Disable Syslog IC ,
AFM,Right to view Fault and Syslog Dashboard information,X,X,X,X,X,X,X,X,,Automated Fault Management,Access to View Fault and Syslog Dashboard Information,
AFM,Right to Edit cco id for TAC case creation,X,X,,,,,,,,Automated Fault Management,Access to Edit Cisco ID for Support Case Creation,
AFM,Right to Create/Edit/Schedule Maintenance Window,X,X,X,,X,,,,,Automated Fault Management,Access to Create/Edit/Schedule Maintenance Window,
AFM,Right to Ignore/Unignore events,X,X,X,,X,,,,Support F10329 when the feature is built,Automated Fault Management,Access to Ignore/Unignore Events,
